from,to,relation,duration
ES,DIHT,6,3
AG,BfB,2,4
AG,BBiR,11,99
HW,CDU,2,99
HW,GZiW,11,99
MK,CDU,2,3
REP,BDG,2,6
REP,LEE NRW,1,2
MV,IG BCE,7,4
MV,SPD,2,7
AS,V,1,3
AS,SPD,2,5
AS,Eon,12,3
SKL,DGB,1,3
SKL,SPD,2,5
MKS,GP,4,2
HUW,BUND,4,7
HUW,RNE,3,2
KN,DNR,3,6
KN,NFD,2,7
JA,WZB,4,6
FM,OEI,4,13
HJS,PIK,5,5
HJS,SRC,99,14
HJS,WBGU,4,3
AN,EAUK,4,8
RW,FIM,2,3
AL,CDU,6,2
AL,AWE,4,7
ANL,CSU,3,2
ANL,AWE,3,2
MM,SPD,3,2
MP,SPD,7,4
RP,CDU,9,7
RP,DB,1,3
BP,HTW,8,3
BP,TAE,5,2
ST,CDU,9,3
GH,DRK,6,2
GH,CSU,9,2
SK,BDA,4,2
SK,CDU,10,3
STK,BDEW,7,2
STK,FDP,4,2
DK,BDI,6,2
CN,TK,1,3
KR,VKU,4,3
KR,CDU,10,3
GR,SED,4,4
GR,ENBW,11,3
GR,BDG,7,2
